feature,median_value_used_for_imputation
tqwt_maxValue_dec_13,0.1522
tqwt_maxValue_dec_14,0.26213
tqwt_maxValue_dec_15,0.35495
tqwt_maxValue_dec_16,0.430045
tqwt_maxValue_dec_17,0.5869500000000001
tqwt_maxValue_dec_18,0.612635
tqwt_maxValue_dec_19,0.475645
tqwt_maxValue_dec_20,0.399395
tqwt_maxValue_dec_21,0.35745
tqwt_maxValue_dec_22,0.36350499999999997
tqwt_maxValue_dec_23,0.39247
tqwt_maxValue_dec_24,0.42821
tqwt_maxValue_dec_25,0.483055
tqwt_maxValue_dec_26,0.40365
tqwt_maxValue_dec_27,0.226105
tqwt_maxValue_dec_28,0.1311
tqwt_maxValue_dec_29,0.086795
tqwt_maxValue_dec_30,0.0785295
tqwt_maxValue_dec_31,0.06709
tqwt_maxValue_dec_32,0.0605415
tqwt_maxValue_dec_33,0.0488385
tqwt_maxValue_dec_34,0.042243
tqwt_maxValue_dec_35,0.03843
tqwt_maxValue_dec_36,0.077166
tqwt_skewnessValue_dec_1,0.0020606
tqwt_skewnessValue_dec_2,0.00137595
tqwt_skewnessValue_dec_3,3.155e-17
tqwt_skewnessValue_dec_4,0.0018901
tqwt_skewnessValue_dec_5,0.0
tqwt_skewnessValue_dec_6,0.00032767
tqwt_skewnessValue_dec_7,-0.00142385
tqwt_skewnessValue_dec_8,-4.47e-18
tqwt_skewnessValue_dec_9,0.000122505
tqwt_skewnessValue_dec_10,0.0007155950000000001
tqwt_skewnessValue_dec_11,-0.00041589999999999997
tqwt_skewnessValue_dec_12,2.955e-18
tqwt_skewnessValue_dec_13,-1.4200000000000001e-18
tqwt_skewnessValue_dec_14,-5.455e-05
tqwt_skewnessValue_dec_15,-7.05e-06
tqwt_skewnessValue_dec_16,1.225e-18
tqwt_skewnessValue_dec_17,9.115e-19
tqwt_skewnessValue_dec_18,-4.4e-18
tqwt_skewnessValue_dec_19,0.00017923
tqwt_skewnessValue_dec_20,1.315e-18
tqwt_skewnessValue_dec_21,1.0650000000000001e-18
tqwt_skewnessValue_dec_22,2.0720000000000002e-18
tqwt_skewnessValue_dec_23,4.73e-18
tqwt_skewnessValue_dec_24,3.6000000000000003e-20
tqwt_skewnessValue_dec_25,0.0
tqwt_skewnessValue_dec_26,-6.7300000000000004e-18
tqwt_skewnessValue_dec_27,4.9800000000000004e-05
tqwt_skewnessValue_dec_28,-0.00026562
tqwt_skewnessValue_dec_29,5.73e-05
tqwt_skewnessValue_dec_30,-1.67e-17
tqwt_skewnessValue_dec_31,-0.00026565
tqwt_skewnessValue_dec_32,-0.00256705
tqwt_skewnessValue_dec_33,-0.002297
tqwt_skewnessValue_dec_34,-0.0031251
tqwt_skewnessValue_dec_35,-0.0055171000000000005
tqwt_skewnessValue_dec_36,0.0488185
tqwt_kurtosisValue_dec_1,21.611449999999998
tqwt_kurtosisValue_dec_2,11.398050000000001
tqwt_kurtosisValue_dec_3,10.27055
tqwt_kurtosisValue_dec_4,9.53095
tqwt_kurtosisValue_dec_5,9.00195
tqwt_kurtosisValue_dec_6,7.6747499999999995
tqwt_kurtosisValue_dec_7,5.9666
tqwt_kurtosisValue_dec_8,5.3686
tqwt_kurtosisValue_dec_9,4.92165
tqwt_kurtosisValue_dec_10,4.5926
tqwt_kurtosisValue_dec_11,5.0158
tqwt_kurtosisValue_dec_12,3.82815
tqwt_kurtosisValue_dec_13,3.0241
tqwt_kurtosisValue_dec_14,2.9531
tqwt_kurtosisValue_dec_15,2.9305000000000003
tqwt_kurtosisValue_dec_16,2.66835
tqwt_kurtosisValue_dec_17,2.42525
tqwt_kurtosisValue_dec_18,2.36945
tqwt_kurtosisValue_dec_19,2.3800499999999998
tqwt_kurtosisValue_dec_20,2.2904
tqwt_kurtosisValue_dec_21,2.1696999999999997
tqwt_kurtosisValue_dec_22,2.0023999999999997
tqwt_kurtosisValue_dec_23,1.9358499999999998
tqwt_kurtosisValue_dec_24,1.83425
tqwt_kurtosisValue_dec_25,1.8199
tqwt_kurtosisValue_dec_26,1.90755
tqwt_kurtosisValue_dec_27,3.07505
tqwt_kurtosisValue_dec_28,5.5863
tqwt_kurtosisValue_dec_29,7.06275
tqwt_kurtosisValue_dec_30,6.0774
tqwt_kurtosisValue_dec_31,4.77085
tqwt_kurtosisValue_dec_32,4.30045
tqwt_kurtosisValue_dec_33,4.74145
tqwt_kurtosisValue_dec_34,6.7257
tqwt_kurtosisValue_dec_35,7.334250000000001
tqwt_kurtosisValue_dec_36,10.637250000000002
